score,filtered_nouns_str,label
1,화웨이,0
5,차단 리스트 삭제 수,1
5,번 삭제 합,1
1,생일 공개 공개 루 다가 덕분 생일 빵 진짜루,0
5,봉,1
3,상대방 목소리,0
1,광고,0
1,계정 정지 고객 센터 문의 하니 전화 고객 센터 페지 걸 말,0
1,삭제 재 영구 정지,0
1,모바일 버젼 로그아웃,0
3,밑 광고,0
3,방향,0
1,눈 네나 눈,0
1,광고 최대한,0
3,튕기네,0
5,항상,1
5,딸 핸드폰 증상 사용자 해킹 해결,1
2,모바일 광고,0
5,지구 존재 스마트폰 어풀중 단연 쵝오,1
1,방 하단 고정 유저 실험실 꼭 검토,0
4,멀티 디바이스 지원,1
5,리뷰 삭제 옾챗 정지,1
4,경고,1
5,일상생활,1
4,경험,1
4,,1
5,항상,1
5,,1
1,,0
1,최악 거기 광고,0
5,,1
5,아프리카,1
1,하루 종일 안나 상담사 해결 방법 재 문의 취하 쇼,0
5,무척,1
1,안드로이드 아이패드 런칭,0
5,뭐 근본 말,1
1,단체 방서 해결,0
5,,1
5,,1
5,항상,1
1,플러스 추천 뭐 광고 장난,0
5,항상,1
5,마음 뎅 방 가면 시비 허위 신고 허위 제제 신고 버튼 투표 걸 강퇴 식 요,1
5,쇼핑 시 무 통장 입금,1
5,,1
1,기프티콘 기간 만료 환불 계좌 환불 송금 요청 오류 개선,0
2,옵챗 정지,0
4,생일 임티좀 본인 해달 래서 그것 뭐 잘못 하나요,1
5,,1
5,시대 시대,1
4,앞,1
1,방 앨범 동영상,0
1,비밀번호 썻는데 횟수,0
5,부탁,1
1,기프티콘 쇼핑 동의,0
5,후회 걸,1
5,처음,1
1,신고 정지 뭐 안 폰 정지 먹음,0
5,,1
4,갤럭시 태블릿,1
5,최고,1
3,연락처 저장 후 자동 등록,0
1,번 계정 안뜰,0
4,삭제 규 삭제,1
4,여전,1
4,,1
5,요긴,1
5,요,1
4,슴,1
4,카드 개수,1
1,장난 어제 안 조치,0
5,이이,1
1,정지 정지 문자 탈퇴 탈퇴 옵정 증거 예기 불 습 한시,0
5,게임 안닌데 아닝 생기 방 꿀잼 추 천취,1
3,상단 바 개수,0
5,케릭 터,1
2,디데이,0
4,키 워드 명,1
5,네오 사랑 라이언 어피 치 편애,1
2,안 종종 가요,0
1,접속 탈퇴 폰 가족사진 장난 별개 관리,0
5,그룹 모임,1
2,이전 폰,0
1,템플,0
2,해결,0
5,복원 메시지,1
1,제거,0
5,면,1
1,마이 뷰 존나 짜증 유튜브 알고리즘 제대로 왜케 시대 후지 발전 겁,0
3,정지 대서 분 안,0
1,복사 복사 해결,0
1,입력 하라,0
4,울 엄마 잘만 튕기 튕기 없넹,1
5,평 수,1
1,결제 오류 결제 가안,0
5,계정,1
1,,0
5,늣어 글,1
5,전번 연결 핸,1
5,젛습니,1
1,회원 탈퇴 버튼 임,0
1,분활 이전 이로 님들 다운 그레이드 셈,0
5,세상 전운 엄마 아빠 사랑,1
1,무거워,0
1,고 완전 가지 중 가장 분,0
1,갈수록 분리 회사 방만 효,0
5,월일 튕 분 삭제 후,1
3,부산 역 택사스촌 노래,0
1,태블릿 용도 기업 힘 애플,0
1,무성의 새 완전 완전 갑 젤 고객 개무시,0
4,늘,1
5,항상,1
4,최고 랙,1
1,안 문의 돈 선물,0
5,항상,1
5,,1
1,생일 윤달 음력 생일,0
1,후 챗 이모티콘 배열 크기,0
3,해외 분 배려,0
4,,1
2,삭제 삭제,0
5,사항 알 아두 밑 카니 카니 고생 뜻,1
1,전화 코드 점도 주기,0
1,안 영구 정지 탈퇴,0
4,계정 주인 이름 내 선물,1
1,도대체 보호 치가 뭐 보호 조치 설명 라드,0
5,유산 슬 이모티콘 이모티콘 짱,1
1,로고 해결,0
1,보호자 보호 권한 해킹 계정 지나 달,0
4,영정 영정 문의 답,1
2,화창 쫌,0
1,다가 정지 허위 신고 신고 해당 한지 허위 신고 담당자 해결 허위 신고,0
1,버젼 깝니 뷰 후,0
5,,1
1,폴더 광고 뱅크 욕심 내 유지 만해 돈 방석 급 싸이월드,0
5,,1
4,목소리,1
1,비번 어제 정,0
5,원래,1
1,페이스북 이모티콘,0
4,잉 상대방 삭제 삭제,1
5,최고 감사 드림,1
5,카퇴 음 현상 벌써 경험,1
2,제거,0
2,알람 전혀 리뷰 보 명 증상 해결,0
5,관리자 세 학생 오늘 데 인터넷 허위 광고 아이디 비밀번호 계정 정지 이해 계정 해제 페이스북 게 학원 페이스북 허위 사실 속 계정 잘못 후 위반 복귀 시오,1
2,싸이월드 미니홈피 도토리 대신 땅콩 설탕 별사탕 곰 사탕 토끼 사탕 다람쥐 사탕 사자 사탕 기린 코끼리 독수리 돌고래 펭귄 몸집 컨셉,0
4,생일 관리 생일 보기 활성화 해 생일,1
2,건,0
5,서버 덕분 챗,1
5,,1
4,,1
1,광고,0
5,폰 구입 계정 하니,1
3,임시조치 일로 안 요 페북 사기 임시조치,0
1,금지 문의 사항 보 젠,0
5,마음,1
5,차단 후 차단 해제 시 취소 삭제 비슷,1
3,이모티콘 기존 삭제,0
1,쓰레기 광고 전락,0
3,이모티콘 가격,0
3,메시지 삭제 안 최신 분 안 해도 안 요,0
1,,0
5,,1
2,조치 취 갠톡,0
5,난,1
1,운 정책 신규 개통,0
1,이전 보기,0
5,,1
1,종이비행기 표시 재 전송 오류,0
1,외 재발 되개헤주새 외,0
1,현재 버젼,0
2,젓,0
1,노잼 임 광고,0
5,,1
1,그룹 덕분 그룹 도 머리 의견 보고 업뎃좀,0
1,채널 페이지 채용 유머 글 보고 햇,0
1,상대 먼저 욕 도욕 서로 신고 정지,0
5,스낵 별 게임 와이파이,1
2,해킹 문의 접수 얼른 처리 늘,0
5,,1
3,안드 내 폰트 수 해주 쉐,0
3,이모티콘 안,0
3,갤럭시 글씨체 변경 수,0
3,허위 신고 정지 자주 고사유 신고 자의 이름,0
5,엄마 형,1
5,,1
4,상대 신고 왜못해 그것 탠데,1
1,지적 사항 건 마음 인생,0
3,,0
3,치즈 재미 품품 인정,0
4,카드,1
1,별로 비밀번호 래서 비밀번호,0
3,정지,0
3,임시조치 차단 풀,0
5,해킹,1
1,실행 개선,0
5,대신 메신저 무방 함,1
5,항상 해,1
5,대하 공부,1
4,부탁 채널 주시 눈 스트레스,1
5,처음 휴대폰 추천,1
4,안드로이드 명 온 미리보기,1
3,안드로이드 미리보기 저번 졋 요,0
5,비 꼭,1
1,입 운 로드,0
5,날로 점수,1
5,멀리 서도 얘기,1
5,픽보 고해,1
5,엄마 학년,1
1,버그 셍겼어,0
1,수요일 시 분 정지 가족 정지 어제 새벽 빨 리좀,0
2,,0
5,말,1
5,대한민국 전 세계 제일 늘,1
